__index__sample	run_index	platform	instrument	BioProject	organism	assay_type	librarylayout	date_sequenced	date_collected	genotype_sam_ss_dpl92	clade_sam	host_disease	strain_sam_ss_dpl139	host_info	country	continent	region	isolation_source	host_scienname	host_confidence	host_commonname
SAMN48270065	SRR33391946	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-30T22:22:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_30_236		USA	North America		clinical	Homo sapiens	3	human
SAMN46720519	SRR32265666	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-07T09:33:00.000Z	2024-06				MD-MDH-CAU-2400811		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN48876787	SRR33814960	ILLUMINA	NextSeq 2000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-06-03T15:39:00.000Z	2025-03				MD-MDH-CAU-2500284		USA	North America	Mid-Atlantic	blood	Homo sapiens	3	human
SAMN46901447	SRR32400848	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-19T15:46:00.000Z	2024-05				MD-MDH-CAU-2400743		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN46793377	SRR32323067	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-02-12T14:27:00.000Z	2024				UT-UPHL-CAU-2827		USA	North America	Mountain		Homo sapiens	3	human
SAMN45233465	SRR31649595	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2024-12-09T15:44:00.000Z	2023-06				MD-MDH-CAU-2400147		USA	North America	Mid-Atlantic	axilla	Homo sapiens	3	human
SAMN47132461	SRR32515437	ILLUMINA	NextSeq 2000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-27T14:20:00.000Z	2024-11				MD-MDH-CAU-2500008		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN43987813	SRR30838311	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-09-30T10:11:00.000Z	2024-07						USA	North America	Midwest	sputum	Homo sapiens	3	human
SAMN49444580	SRR34036327	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:51:00.000Z	2023				NV-WW-CAU-0324C130W		USA	North America	NV	environmental (wastewater)			
SAMN48849700	SRR33790367	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-02T12:56:00.000Z	2024-12						USA	North America	Midwest	axilla and/or groin	Homo sapiens	3	human
SAMN48288214	SRR33405818	ILLUMINA	Illumina MiniSeq	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-01T21:08:00.000Z	2024			Fungal infection	2025CE-CAURIS_05_01_224		USA	North America		clinical	Homo sapiens	3	human
SAMN48311197	SRR33413665	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-02T17:43:00.000Z	2024			Fungal infection	2025CE-CAURIS_05_02_005		USA	North America		clinical	Homo sapiens	3	human
